id,U/U0 ,η ,Fn,Uc,β (deg) ,δ (deg) ,v'max,r'max,Nrep,T (C°),Type
1375,1,1,0.1422,1.178,0,35,,,1,21.1,Static Drift
1390,0.8,1,0.1138,0.943,-4,35,,,1,21.1,Static Drift
1380,0.8,1,0.1138,0.943,0,35,,,1,21.1,Static Drift
1395,0.8,1,0.1138,0.943,4,35,,,1,21.1,Static Drift
1400,0.6,1,0.0853,0.707,-12,35,,,1,21.1,Static Drift
1385,0.6,1,0.0853,0.707,0,35,,,1,21.1,Static Drift
1405,0.6,1,0.0853,0.707,12,35,,,1,21.1,Static Drift
1403,0.35,1,0.0498,0.412,-8,35,,,1,21.1,Static Drift
1402,0.35,1,0.0498,0.412,0,35,,,1,21.1,Static Drift
1401,0.35,1,0.0498,0.412,8,35,,,1,21.1,Static Drift
1035,1,1,0.1422,1.178,0,30,,,1,20.8,Static Drift
1050,0.8,1,0.1138,0.943,-4,30,,,1,20.8,Static Drift
1040,0.8,1,0.1138,0.943,0,30,,,1,20.8,Static Drift
1055,0.8,1,0.1138,0.943,4,30,,,1,20.8,Static Drift
1365,0.6,1,0.0853,0.707,-12,30,,,1,21,Static Drift
1350,0.6,1,0.0853,0.707,0,30,,,1,21,Static Drift
1370,0.6,1,0.0853,0.707,12,30,,,1,21,Static Drift
1378,0.35,1,0.0498,0.412,-8,30,,,1,21,Static Drift
1377,0.35,1,0.0498,0.412,0,30,,,1,21.1,Static Drift
1376,0.35,1,0.0498,0.412,8,30,,,1,21.1,Static Drift
1070,1,1,0.1422,1.178,0,20,,,1,20.8,Static Drift
1085,0.8,1,0.1138,0.943,-4,20,,,1,20.8,Static Drift
1075,0.8,1,0.1138,0.943,0,20,,,1,20.8,Static Drift
1090,0.8,1,0.1138,0.943,4,20,,,1,20.8,Static Drift
1330,0.6,1,0.0853,0.707,-12,20,,,1,21,Static Drift
1315,0.6,1,0.0853,0.707,0,20,,,1,21,Static Drift
1335,0.6,1,0.0853,0.707,12,20,,,1,21,Static Drift
1343,0.35,1,0.0498,0.412,-8,20,,,1,21,Static Drift
1342,0.35,1,0.0498,0.412,0,20,,,1,21,Static Drift
1341,0.35,1,0.0498,0.412,8,20,,,1,21,Static Drift
1105,1,1,0.1422,1.178,0,10,,,1,20.8,Static Drift
1120,0.8,1,0.1138,0.943,-4,10,,,1,20.8,Static Drift
1110,0.8,1,0.1138,0.943,0,10,,,1,20.8,Static Drift
1125,0.8,1,0.1138,0.943,4,10,,,1,20.8,Static Drift
1295,0.6,1,0.0853,0.707,-12,10,,,1,21,Static Drift
1280,0.6,1,0.0853,0.707,0,10,,,1,21,Static Drift
1300,0.6,1,0.0853,0.707,12,10,,,1,21,Static Drift
1308,0.35,1,0.0498,0.412,-8,10,,,1,21,Static Drift
1307,0.35,1,0.0498,0.412,0,10,,,1,21,Static Drift
1309,0.35,1,0.0498,0.412,8,10,,,1,20.8,Static Drift
1156,1,1,0.1422,1.178,-8,0,,,1,21,Static Drift
1155,1,1,0.1422,1.178,-4,0,,,1,21,Static Drift
1160,1,1,0.1422,1.178,-2,0,,,1,21,Static Drift
1165,1,1,0.1422,1.178,-1,0,,,1,21,Static Drift
1170,1,1,0.1422,1.178,-0.5,0,,,1,21,Static Drift
1140,1,1,0.1422,1.178,0,0,,,1,21,Static Drift
1180,1,1,0.1422,1.178,0.5,0,,,1,21,Static Drift
1185,1,1,0.1422,1.178,1,0,,,1,21,Static Drift
1190,1,1,0.1422,1.178,2,0,,,1,21,Static Drift
1195,1,1,0.1422,1.178,4,0,,,1,21,Static Drift
1202,1,1,0.1422,1.178,8,0,,,1,21,Static Drift
1201,0.8,1,0.1138,0.943,-12,0,,,1,21,Static Drift
1200,0.8,1,0.1138,0.943,-8,0,,,1,21,Static Drift
1250,0.8,1,0.1138,0.943,-4,0,,,1,21,Static Drift
1145,0.8,1,0.1138,0.943,0,0,,,1,21,Static Drift
1255,0.8,1,0.1138,0.943,4,0,,,1,21,Static Drift
1220,0.8,1,0.1138,0.943,8,0,,,1,21,Static Drift
1232,0.8,1,0.1138,0.943,12,0,,,1,21,Static Drift
1231,0.6,1,0.0853,0.707,-16,0,,,1,21.1,Static Drift
1230,0.6,1,0.0853,0.707,-12,0,,,1,21.1,Static Drift
1225,0.6,1,0.0853,0.707,-8,0,,,1,21.1,Static Drift
1151,0.6,1,0.0853,0.707,-4,0,,,1,21.1,Static Drift
1150,0.6,1,0.0853,0.707,0,0,,,1,21.1,Static Drift
1149,0.6,1,0.0853,0.707,4,0,,,1,21.1,Static Drift
1245,0.6,1,0.0853,0.707,8,0,,,1,21.1,Static Drift
1240,0.6,1,0.0853,0.707,12,0,,,1,21.1,Static Drift
1249,0.6,1,0.0853,0.707,16,0,,,1,21.1,Static Drift
1248,0.35,1,0.0498,0.412,-20,0,,,1,21.1,Static Drift
1247,0.35,1,0.0498,0.412,-16,0,,,1,21.1,Static Drift
1246,0.35,1,0.0498,0.412,-12,0,,,1,21.1,Static Drift
1244,0.35,1,0.0498,0.412,-8,0,,,1,21.1,Static Drift
1243,0.35,1,0.0498,0.412,-4,0,,,1,21.1,Static Drift
1242,0.35,1,0.0498,0.412,0,0,,,1,21.1,Static Drift
1241,0.35,1,0.0498,0.412,4,0,,,1,21.1,Static Drift
1299,0.35,1,0.0498,0.412,8,0,,,1,21.1,Static Drift
1298,0.35,1,0.0498,0.412,12,0,,,1,21.1,Static Drift
1297,0.35,1,0.0498,0.412,16,0,,,1,21.1,Static Drift
1296,0.35,1,0.0498,0.412,20,0,,,1,21.1,Static Drift
1270,1,1,0.1422,1.178,0,-10,,,1,20.8,Static Drift
1285,0.8,1,0.1138,0.943,-4,-10,,,1,20.6,Static Drift
1275,0.8,1,0.1138,0.943,0,-10,,,1,20.6,Static Drift
1290,0.8,1,0.1138,0.943,4,-10,,,1,20.6,Static Drift
1130,0.6,1,0.0853,0.707,-12,-10,,,1,21,Static Drift
1115,0.6,1,0.0853,0.707,0,-10,,,1,21,Static Drift
1135,0.6,1,0.0853,0.707,12,-10,,,1,21,Static Drift
1159,0.35,1,0.0498,0.412,-8,-10,,,1,,Static Drift
1161,0.35,1,0.0498,0.412,0,-10,,,1,20.8,Static Drift
1157,0.35,1,0.0498,0.412,8,-10,,,1,21,Static Drift
1305,1,1,0.1422,1.178,0,-20,,,1,20.6,Static Drift
1320,0.8,1,0.1138,0.943,-4,-20,,,1,20.6,Static Drift
1310,0.8,1,0.1138,0.943,0,-20,,,1,20.6,Static Drift
1325,0.8,1,0.1138,0.943,4,-20,,,1,20.6,Static Drift
1095,0.6,1,0.0853,0.707,-12,-20,,,1,21,Static Drift
1080,0.6,1,0.0853,0.707,0,-20,,,1,21,Static Drift
1100,0.6,1,0.0853,0.707,12,-20,,,1,21,Static Drift
1108,0.35,1,0.0498,0.412,-8,-20,,,1,21,Static Drift
1107,0.35,1,0.0498,0.412,0,-20,,,1,21,Static Drift
1106,0.35,1,0.0498,0.412,8,-20,,,1,21,Static Drift
1340,1,1,0.1422,1.178,0,-30,,,1,20.6,Static Drift
1355,0.8,1,0.1138,0.943,-4,-30,,,1,20.6,Static Drift
1345,0.8,1,0.1138,0.943,0,-30,,,1,20.6,Static Drift
1360,0.8,1,0.1138,0.943,4,-30,,,1,20.6,Static Drift
1060,0.6,1,0.0853,0.707,-12,-30,,,1,21,Static Drift
1065,0.6,1,0.0853,0.707,0,-30,,,1,21,Static Drift
1045,0.6,1,0.0853,0.707,12,-30,,,1,21,Static Drift
1073,0.35,1,0.0498,0.412,-8,-30,,,1,21,Static Drift
1072,0.35,1,0.0498,0.412,0,-30,,,1,21,Static Drift
1071,0.35,1,0.0498,0.412,8,-30,,,1,21,Static Drift
1000,1,1,0.1422,1.178,0,-35,,,1,20.6,Static Drift
1015,0.8,1,0.1138,0.943,-4,-35,,,1,20.6,Static Drift
1005,0.8,1,0.1138,0.943,0,-35,,,1,20.6,Static Drift
1020,0.8,1,0.1138,0.943,4,-35,,,1,21,Static Drift
1025,0.6,1,0.0853,0.707,-12,-35,,,1,21,Static Drift
1010,0.6,1,0.0853,0.707,0,-35,,,1,21,Static Drift
1030,0.6,1,0.0853,0.707,12,-35,,,1,21,Static Drift
1038,0.35,1,0.0498,0.412,-8,-35,,,1,21,Static Drift
1037,0.35,1,0.0498,0.412,0,-35,,,1,21,Static Drift
1036,0.35,1,0.0498,0.412,8,-35,,,1,21,Static Drift
1410,1,1,0.1422,1.178,0,0,0.04,,1,21,Pure Sway
1415,1,1,0.1422,1.178,0,0,0.08,,1,21,Pure Sway
1416,0.6,1,0.0853,0.707,0,0,0.12,,1,20.6,Pure Sway
1417,0.6,1,0.0853,0.707,0,0,0.16,,1,20.6,Pure Sway
1420,1,1,0.1422,1.178,0,0,,0.05,1,21,Pure Yaw
1425,1,1,0.1422,1.178,0,0,,0.1,1,21,Pure Yaw
1430,1,1,0.1422,1.178,0,0,,0.15,1,21,Pure Yaw
1435,1,1,0.1422,1.178,0,0,,0.2,1,20.6,Pure Yaw
1440,0.8,1,0.1138,0.943,0,0,,0.4,1,21,Pure Yaw
1450,0.8,1,0.1138,0.943,0,-20,,0.4,1,21,Pure Yaw
1455,0.8,1,0.1138,0.943,0,20,,0.4,1,21,Pure Yaw
1445,0.6,1,0.0853,0.707,0,0,,0.7,1,21,Pure Yaw
1460,0.6,1,0.0853,0.707,0,-30,,0.7,1,21,Pure Yaw
1465,0.6,1,0.0853,0.707,0,30,,0.7,1,21,Pure Yaw
1466,0.35,1,0.0498,0.412,0,0,,1,1,21,Pure Yaw
1467,0.35,1,0.0498,0.412,0,-35,,1,1,20.6,Pure Yaw
1468,0.35,1,0.0498,0.412,0,35,,1,1,20.5,Pure Yaw
1470,0.8,1,0.1138,0.943,-4,0,,0.4,1,21,Yaw-and-Drift
1475,0.8,1,0.1138,0.943,4,0,,0.4,1,21,Yaw-and-Drift
1480,0.6,1,0.0853,0.707,-12,0,,0.7,1,21,Yaw-and-Drift
1485,0.6,1,0.0853,0.707,12,0,,0.7,1,20.6,Yaw-and-Drift
1486,0.35,1,0.0498,0.412,-20,0,,1,1,21,Yaw-and-Drift
1487,0.35,1,0.0498,0.412,20,0,,1,1,20.6,Yaw-and-Drift
